Country or Area,Year,"Solar Quantity (kWh, Million)","Wind Quantity (kWh, Million)"
Algeria,2020,665.22,7.701
Algeria,2016,339.1,19.4
Argentina,2020,1344.589,9412.333
Argentina,2016,14.0,547.0
Armenia,2020,136.577,1.869
Armenia,2016,1.0,2.0
Aruba,2020,11.0,165.0
Australia,2020,21033.194,20395.885
Australia,2016,6209.0,12199.0
Austria,2020,2042.934,6791.53
Austria,2016,1096.0,5235.0
Azerbaijan,2020,47.0015,96.101
Azerbaijan,2016,35.3,22.8
Bahrain,2020,10.0,1.0
Bahrain,2016,9.0,1.0
Bangladesh,2020,400.973,6.0
Bangladesh,2016,233.0,6.0
Belarus,2020,176.0,194.0
Belarus,2016,28.0,75.0
Belgium,2020,5105.4,12763.6
Belgium,2016,3095.0,5417.0
Bhutan,2020,0.385,1.11
Bhutan,2016,0.385,0.71
Bolivia,2020,332.4,64.2
Bolivia,2016,6.0,35.0
"Bonaire, St Eustatius, Saba",2020,7.6,25.4
"Bonaire, St Eustatius, Saba",2016,2.4,35.1
Bosnia and Herzegovina,2020,45.0,262.0
Brazil,2020,10750.0,57050.0
Brazil,2016,85.0,33488.0
British Virgin Islands,2020,0.4,1.25
British Virgin Islands,2016,0.7,1.05
Bulgaria,2020,1480.856,1477.131
Bulgaria,2016,1386.0,1425.0
Cabo Verde,2020,6.53,63.9
Cabo Verde,2016,5.6,76.9
Canada,2020,4846.0,35638.0
Canada,2016,4030.0,30930.0
Chile,2020,7971.25,5602.3
Chile,2016,2639.0,2449.0
China,2020,260857.0,466470.0
China,2016,61586.0,237070.0
Colombia,2020,200.796,10.117
Costa Rica,2020,75.693,1459.442
Costa Rica,2016,30.2994,1147.291
Croatia,2020,95.5,1720.7
Croatia,2016,66.0,1014.0
Cuba,2020,192.992,67.808
Cuba,2016,39.1,21.0
Curaçao,2020,22.218,191.386
Curaçao,2016,19.0,130.0
Cyprus,2020,295.608,240.408
Cyprus,2016,146.0,226.0
Czechia,2020,2287.014,699.083
Czechia,2016,2131.0,497.0
Denmark,2020,1180.532,16330.215
Denmark,2016,744.0,12782.0
Dominica,2020,0.2,0.6
Dominica,2016,0.357,0.595
Dominican Republic,2020,433.912,1139.0
Dominican Republic,2016,75.12,322.8
Ecuador,2020,37.76,77.1
