ISO-code,Country or Area,Region,Donor,Agency,Year,Category,Technology,Sub-technology,Finance Group,Finance Type,Amount (2020 USD million)
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,0.583189666
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2019,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,4.882123571
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,0.680387943
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Solar energy,Off-grid Solar photovoltaic,Debt,Standard loan,0.777586221
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,0.155517244
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,3.110344884
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,1.185818987
EUE,European Union (27),Europe,EU Institutions,European Investment Bank,2020,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,2.332758663
XMX,Multilateral,Multilateral,Norway,Nordic Investment Bank,2018,Renewables,Multiple renewables,Multiple renewables,Debt,Bonds,9.87481157
XMX,Multilateral,Multilateral,Netherlands,FMO,2017,Renewables,Multiple renewables,Multiple renewables,Debt,Standard loan,0.004290443
XMX,Multilateral,Multilateral,Netherlands,FMO,2018,Renewables,Solar energy,Off-grid Solar photovoltaic,Equity,Shares in collective investment vehicles,0.005028125
XMX,Multilateral,Multilateral,Netherlands,FMO,2019,Renewables,Solar energy,Off-grid Solar photovoltaic,Debt,Standard loan,0.15
XMX,Multilateral,Multilateral,Korea,Export-Import Bank of Korea,2018,Renewables,Multiple renewables,Multiple renewables,Debt,Bonds,74.39736131
XMX,Multilateral,Multilateral,France,French Development Agency,2018,Renewables,Solar energy,Off-grid Solar photovoltaic,Grants,Standard grant,0.014419892
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,EU Institutions,European Investment Bank,2018,Renewables,Multiple renewables,Multiple renewables,Equity,Shares in collective investment vehicles,0.310378781
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2016,Renewables,Solar energy,On-grid Solar photovoltaic,Equity,Common equity,5.852060343
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2016,Renewables,Solar energy,On-grid Solar photovoltaic,Equity,Common equity,0.685744571
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2016,Renewables,Solar energy,On-grid Solar photovoltaic,Debt,Standard loan,2.316136711
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2016,Renewables,Solar energy,On-grid Solar photovoltaic,Debt,Standard loan,1.771844761
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2019,Renewables,Multiple renewables,Multiple renewables,Equity,Common equity,3.75
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2017,Renewables,Multiple renewables,Multiple renewables,Equity,Common equity,14.12160539
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,International Finance Corporation,International Finance Corporation,2017,Renewables,Multiple renewables,Multiple renewables,Equity,Common equity,0.070608744
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,Sweden,Swedish International Development Authority,2017,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,4.66949493
XME,Residual/unallocated ODA: Western Asia and Northern Africa,Middle East,Food and Agriculture Organisation,FAO,2019,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,0.178065
XDX,"Unspecified, developing countries","Unspecified, developing countries",Japan,Japanese International Co-operation Agency,2016,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,0.248679101
XDX,"Unspecified, developing countries","Unspecified, developing countries",Japan,Japanese International Co-operation Agency,2017,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,0.536658314
XDX,"Unspecified, developing countries","Unspecified, developing countries",Japan,Japanese International Co-operation Agency,2018,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,1.224757474
XDX,"Unspecified, developing countries","Unspecified, developing countries",Japan,Japanese International Co-operation Agency,2020,Renewables,Multiple renewables,Multiple renewables,Grants,Standard grant,0.676563964
