Country or Area,Year,Investment (USD Million)
Afghanistan,2016,0.862826274
Afghanistan,2020,18.575668225999998
Algeria,2016,0.158600716
Algeria,2020,0.000801159
Angola,2016,93.95750494500001
Antigua and Barbuda,2020,6.370792631
Argentina,2016,250.164444293
Argentina,2020,5.810334292
Armenia,2016,120.441631662
Armenia,2020,24.716552507
Austria,2016,4.947039748
Austria,2020,13.250069204999999
Azerbaijan,2016,0.013616495
Azerbaijan,2020,0.00510181
Bahamas,2020,185.04686899
Bangladesh,2016,418.432619778
Bangladesh,2020,22.052902633000002
Barbados,2016,8.859223807
Belarus,2016,0.133343429
Belgium,2016,100.08937839000001
Belize,2016,1.6873738679999999
Benin,2016,1.281906013
Benin,2020,0.017433446
Bhutan,2016,0.050451716
Bhutan,2020,0.7304481660000001
Bolivia,2016,1124.9470907410002
Bolivia,2020,0.274658275
Bosnia and Herzegovina,2016,3.622239466
Bosnia and Herzegovina,2020,0.033519165
Botswana,2016,0.00699631
Brazil,2016,1869.583276722
Brazil,2020,1876.993291498
Bulgaria,2020,0.06998276
Burkina Faso,2016,29.286645499
Burkina Faso,2020,63.158450433
Burundi,2016,0.054653152
Burundi,2020,108.57670941
Cabo Verde,2016,1.003735075
Cambodia,2016,156.64307716500002
Cambodia,2020,0.635981208
Cameroon,2016,77.454670124
Cameroon,2020,37.775739142
Central African Republic,2016,0.000163635
Central African Republic,2020,5.931785065
Chad,2016,41.325287764
Chad,2020,10.547404629
Chile,2016,300.132760068
Chile,2020,0.9374084819999999
China,2016,1245.1838071500001
China,2020,111.590697948
Colombia,2016,1454.763357066
Colombia,2020,48.69654446
Comoros,2016,0.014819893
Comoros,2020,16.458987916
Congo,2016,0.086045375
Congo,2020,0.298458199
Cook Islands,2016,4.444203566
Costa Rica,2016,173.043376751
Costa Rica,2020,292.375310972
Cuba,2016,31.013666177
Cuba,2020,2.935015361
Côte d'Ivoire,2016,34.909114286
Côte d'Ivoire,2020,321.602224761
Democratic People's Republic of Korea,2016,0.342105702
Democratic People's Republic of Korea,2020,0.000342824
Democratic Republic of the Congo,2016,23.736962564
Democratic Republic of the Congo,2020,0.007643015
Denmark,2020,1.608592615
Djibouti,2016,1.286958898
Djibouti,2020,1.436814557
Dominican Republic,2016,81.90773009899999
Ecuador,2016,134.66594300699998
Ecuador,2020,68.17516225
Egypt,2016,312.346991442
Egypt,2020,133.434830576
El Salvador,2016,67.687537095
El Salvador,2020,0.766641047
Eswatini,2020,0.084520348
Ethiopia,2016,54.102812872
Ethiopia,2020,0.620250164
European Union (27),2020,8.825603608
Fiji,2016,0.18465701
Fiji,2020,3.837807783
Finland,2016,15.417485842000001
Finland,2020,9.087661502
France,2016,36.645382317
France,2020,49.27952675
Gabon,2016,40.716070115
Gambia,2020,21.561583097
Georgia,2016,90.50772803100001
Georgia,2020,0.613214157
Ghana,2016,505.23432031699997
Ghana,2020,0.002779261
Greece,2016,52.11308122
Greece,2020,10.919789499
Guatemala,2016,13.185372424
Guinea,2016,140.755436872
Guinea-Bissau,2016,0.408535211
Guyana,2020,1.502186134
Haiti,2016,8.667723589
Haiti,2020,12.061000616000001
Honduras,2016,175.995015275
Honduras,2020,19.352345306
Iceland,2016,67.733561103
Iceland,2020,6.029279382
India,2016,2112.777204277
India,2020,1033.279724577
Indonesia,2016,342.325006455
Indonesia,2020,334.75131882799997
Iran (Islamic Republic of),2016,0.084410868
Iran (Islamic Republic of),2020,0.008194903
Iraq,2016,260.565406
Iraq,2020,0.536429088
Italy,2016,14.242601587
Italy,2020,7.056594955
Jamaica,2016,17.582244908
Jamaica,2020,2.922190032
Jordan,2016,509.071084651
Jordan,2020,14.614171841000001
Kazakhstan,2016,45.869725842
Kazakhstan,2020,47.733563935
Kenya,2016,701.121833635
Kenya,2020,22.310263335000002
Kiribati,2016,0.003448138
Kiribati,2020,7.596660936
Kosovo,2016,0.00040936
Kosovo,2020,0.015778064
Kyrgyzstan,2016,38.223066286000005
Lao People's Democratic Republic,2016,753.5884052509999
Lao People's Democratic Republic,2020,0.443086089
Lebanon,2016,23.647262050000002
Lebanon,2020,0.062216386
Lesotho,2016,0.003103855
Lesotho,2020,76.642049795
Liberia,2016,10.235655797
Liberia,2020,7.791447114
Libya,2020,0.0095283
Madagascar,2016,22.525651982
Malawi,2016,0.346643621
Malawi,2020,2.967388485
Malaysia,2016,1.291648164
Maldives,2016,0.013247145
Maldives,2020,21.48383432
Mali,2016,50.95671351
Mali,2020,0.179825625
Malta,2016,0.320339362
Marshall Islands,2016,0.260327947
Mauritania,2016,178.25926466800001
Mauritania,2020,27.64015864
Mauritius,2016,29.40220042
Mexico,2016,455.345348699
Mexico,2020,546.385053324
Micronesia (Federated States of),2016,0.0063621
Micronesia (Federated States of),2020,0.018924222
Mongolia,2016,198.81425262800002
Mongolia,2020,104.246222996
Montenegro,2016,4.693450759
Montenegro,2020,16.67558066
Montserrat,2016,7.975534263
Morocco,2016,410.032917628
Morocco,2020,165.289402753
Mozambique,2016,55.929923636
Mozambique,2020,140.85389179
Myanmar,2016,3.87422663
Myanmar,2020,9.199479919
Namibia,2016,11.63382639
Namibia,2020,0.000801159
Nauru,2016,2.946687398
Nepal,2016,29.029010839
Nepal,2020,42.473924884
Netherlands,2016,19.61340432
Netherlands,2020,2.915948329
Nicaragua,2016,178.280203147
Nicaragua,2020,139.72640143799998
Niger,2016,1.17765929
Niger,2020,126.61823573699999
Nigeria,2016,61.807748710000006
Nigeria,2020,21.937707253
Niue,2016,0.246463064
Norway,2016,75.26322688
Norway,2020,10.312818066
Pakistan,2016,903.829887085
Pakistan,2020,811.640073412
Palau,2016,0.005305752
Palau,2020,0.000801159
Panama,2016,366.66370248
